Order Date,Ship Date,Ship Mode,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,delivery_days,order_month,order_year,profit_margin,is_profitable,is_discounted
2016-12-11,2016-12-17,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Fasteners,15.26,7,0,6.2566,6,2016-12,2016,0.40973,1,0
2016-12-11,2016-12-17,Standard Class,Corporate,United States,New York City,New York,East,Technology,Phones,1029.95,5,0,298.6855,6,2016-12,2016,0.29,1,0
2016-06-17,2016-06-18,First Class,Consumer,United States,Troy,New York,East,Office Supplies,Storage,208.56,6,0,52.14,1,2016-06,2016,0.24999,1,0
2016-06-17,2016-06-18,First Class,Consumer,United States,Troy,New York,East,Office Supplies,Paper,32.4,5,0,15.552,1,2016-06,2016,0.47985,1,0
2016-06-17,2016-06-18,First Class,Consumer,United States,Troy,New York,East,Furniture,Chairs,319.41,5,0.1,7.098,1,2016-06,2016,0.02222,1,1
2016-06-17,2016-06-18,First Class,Consumer,United States,Troy,New York,East,Office Supplies,Paper,14.56,2,0,6.9888,1,2016-06,2016,0.47967,1,0
2016-06-17,2016-06-18,First Class,Consumer,United States,Troy,New York,East,Technology,Accessories,30,2,0,3.3,1,2016-06,2016,0.10996,1,0
2016-06-17,2016-06-18,First Class,Consumer,United States,Troy,New York,East,Office Supplies,Binders,48.48,4,0.2,16.362,1,2016-06,2016,0.33743,1,1
2016-06-17,2016-06-18,First Class,Consumer,United States,Troy,New York,East,Office Supplies,Art,1.68,1,0,0.84,1,2016-06,2016,0.49704,1,0
2015-11-24,2015-11-30,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Accessories,13.98,2,0,6.1512,6,2015-11,2015,0.43969,1,0
2015-11-24,2015-11-30,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,25.824,6,0.2,9.3612,6,2015-11,2015,0.36236,1,1
2015-11-24,2015-11-30,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,146.73,3,0,68.9631,6,2015-11,2015,0.46997,1,0
2015-11-24,2015-11-30,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,79.76,4,0,22.3328,6,2015-11,2015,0.27996,1,0
2015-04-30,2015-05-05,Standard Class,Home Office,United States,Chicago,Illinois,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,5,2015-04,2015,-0.07143,0,1
2014-12-05,2014-12-10,Standard Class,Corporate,United States,Gilbert,Arizona,West,Office Supplies,Art,1113.024,8,0.2,111.3024,5,2014-12,2014,0.1,1,1
2014-12-05,2014-12-10,Standard Class,Corporate,United States,Gilbert,Arizona,West,Technology,Phones,167.968,4,0.2,62.988,5,2014-12,2014,0.37498,1,1
2016-06-04,2016-06-06,First Class,Consumer,United States,Springfield,Virginia,South,Office Supplies,Paper,75.88,2,0,35.6636,2,2016-06,2016,0.46994,1,0
2016-09-18,2016-09-23,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,4.616,1,0.2,1.731,5,2016-09,2016,0.37419,1,1
2017-09-14,2017-09-17,Second Class,Consumer,United States,Jackson,Michigan,Central,Office Supplies,Paper,19.05,3,0,8.763,3,2017-09,2017,0.45976,1,0
2015-04-26,2015-05-02,Standard Class,Consumer,United States,Memphis,Tennessee,South,Furniture,Chairs,831.936,8,0.2,-114.3912,6,2015-04,2015,-0.1375,0,1
2015-04-26,2015-05-02,Standard Class,Consumer,United States,Memphis,Tennessee,South,Furniture,Furnishings,97.04,2,0.2,1.213,6,2015-04,2015,0.0125,1,1
2015-04-26,2015-05-02,Standard Class,Consumer,United States,Memphis,Tennessee,South,Office Supplies,Storage,72.784,1,0.2,-18.196,6,2015-04,2015,-0.24997,0,1
2017-12-09,2017-12-11,First Class,Corporate,United States,Houston,Texas,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,2,2017-12,2017,-1.53768,0,1
2017-12-09,2017-12-11,First Class,Corporate,United States,Houston,Texas,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,2,2017-12,2017,-0.59938,0,1
2017-12-09,2017-12-11,First Class,Corporate,United States,Houston,Texas,Central,Office Supplies,Storage,27.24,3,0.2,2.724,2,2017-12,2017,0.09996,1,1
2014-11-26,2014-12-01,Second Class,Consumer,United States,Houston,Texas,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,5,2014-11,2014,-0.74961,0,1
2016-06-12,2016-06-15,First Class,Corporate,United States,Decatur,Alabama,South,Office Supplies,Appliances,208.16,1,0,56.2032,3,2016-06,2016,0.26999,1,0
2016-06-12,2016-06-15,First Class,Corporate,United States,Decatur,Alabama,South,Office Supplies,Binders,16.74,3,0,8.0352,3,2016-06,2016,0.47971,1,0
2014-10-12,2014-10-16,Standard Class,Consumer,United States,San Francisco,California,West,Office Supplies,Art,14.9,5,0,4.172,4,2014-10,2014,0.27981,1,0
2014-10-12,2014-10-16,Standard Class,Consumer,United States,San Francisco,California,West,Office Supplies,Storage,21.39,1,0,6.2031,4,2014-10,2014,0.28986,1,0
2015-09-03,2015-09-08,Standard Class,Corporate,United States,Durham,North Carolina,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,5,2015-09,2015,0.31248,1,1
2017-11-13,2017-11-16,First Class,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,3,2017-11,2017,-0.21249,0,1
2017-05-28,2017-05-30,Second Class,Consumer,United States,Columbia,South Carolina,South,Furniture,Chairs,301.96,2,0,33.2156,2,2017-05,2017,0.11,1,0
2017-10-26,2017-11-02,Standard Class,Consumer,United States,Rochester,Minnesota,Central,Technology,Accessories,19.99,1,0,6.7966,7,2017-10,2017,0.33983,1,0
2017-10-26,2017-11-02,Standard Class,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Labels,6.16,2,0,2.9568,7,2017-10,2017,0.47922,1,0
2016-04-05,2016-04-10,Second Class,Home Office,United States,Houston,Texas,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,5,2016-04,2016,0.08749,1,1
2016-09-17,2016-09-22,Standard Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Art,20.1,3,0,6.633,5,2016-09,2016,0.32984,1,0
2016-09-17,2016-09-22,Standard Class,Corporate,United States,Los Angeles,California,West,Technology,Phones,73.584,2,0.2,8.2782,5,2016-09,2016,0.11248,1,1
2016-09-17,2016-09-22,Standard Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Paper,6.48,1,0,3.1104,5,2016-09,2016,0.47926,1,0
2015-01-31,2015-02-05,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Paper,12.96,2,0,6.2208,5,2015-01,2015,0.47963,1,0
2015-01-31,2015-02-05,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,Furniture,Furnishings,53.34,3,0,16.5354,5,2015-01,2015,0.30994,1,0
2015-01-31,2015-02-05,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Binders,32.96,2,0,16.1504,5,2015-01,2015,0.48985,1,0
2017-11-06,2017-11-12,Standard Class,Home Office,United States,Portland,Oregon,West,Office Supplies,Binders,5.682,1,0.7,-3.788,6,2017-11,2017,-0.6655,0,1
2017-11-09,2017-11-11,Second Class,Home Office,United States,New York City,New York,East,Furniture,Furnishings,96.53,7,0,40.5426,2,2017-11,2017,0.41996,1,0
2017-06-17,2017-06-20,First Class,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,51.312,3,0.2,17.9592,3,2017-06,2017,0.34993,1,1
2016-09-06,2016-09-11,Standard Class,Corporate,United States,Saint Paul,Minnesota,Central,Office Supplies,Appliances,77.88,6,0,22.5852,5,2016-09,2016,0.28996,1,0
2016-08-29,2016-09-02,Standard Class,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,4,2016-08,2016,0.34995,1,1
2016-08-29,2016-09-02,Standard Class,Home Office,United States,Chicago,Illinois,Central,Technology,Accessories,95.976,3,0.2,-10.7973,4,2016-08,2016,-0.11249,0,1
2016-08-29,2016-09-02,Standard Class,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,4,2016-08,2016,-1.69055,0,1
2016-12-01,2016-12-04,Second Class,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Paper,23.92,4,0,11.7208,3,2016-12,2016,0.4898,1,0
2015-11-13,2015-11-17,Standard Class,Consumer,United States,Aurora,Colorado,West,Technology,Accessories,238.896,6,0.2,-26.8758,4,2015-11,2015,-0.1125,0,1
2015-11-13,2015-11-17,Standard Class,Consumer,United States,Aurora,Colorado,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,4,2015-11,2015,-0.0375,0,1
2015-11-13,2015-11-17,Standard Class,Consumer,United States,Aurora,Colorado,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,4,2015-11,2015,-0.69981,0,1
2017-11-23,2017-11-28,Standard Class,Consumer,United States,Charlotte,North Carolina,South,Technology,Accessories,74.112,8,0.2,17.6016,5,2017-11,2017,0.23747,1,1
2017-11-23,2017-11-28,Standard Class,Consumer,United States,Charlotte,North Carolina,South,Technology,Phones,27.992,1,0.2,2.0994,5,2017-11,2017,0.07497,1,1
2017-11-23,2017-11-28,Standard Class,Consumer,United States,Charlotte,North Carolina,South,Office Supplies,Art,3.304,1,0.2,1.0738,5,2017-11,2017,0.32402,1,1
2015-10-15,2015-10-20,Standard Class,Home Office,United States,Orland Park,Illinois,Central,Technology,Accessories,339.96,5,0.2,67.992,5,2015-10,2015,0.19999,1,1
2017-12-25,2017-12-30,Standard Class,Corporate,United States,New York City,New York,East,Furniture,Furnishings,41.96,2,0,10.9096,5,2017-12,2017,0.25994,1,0
2016-11-03,2016-11-10,Standard Class,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Art,75.96,2,0,22.788,7,2016-11,2016,0.29996,1,0
2016-11-03,2016-11-10,Standard Class,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Binders,27.24,6,0,13.3476,7,2016-11,2016,0.48982,1,0
2014-08-25,2014-08-27,Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,2,2014-08,2014,0.36241,1,1
2014-08-25,2014-08-27,Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,2,2014-08,2014,0.34926,1,1
2014-08-25,2014-08-27,Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Paper,23.976,3,0.2,7.4925,2,2014-08,2014,0.31237,1,1
2014-08-25,2014-08-27,Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,2,2014-08,2014,0.33747,1,1
2015-03-02,2015-03-06,Standard Class,Consumer,United States,Seattle,Washington,West,Furniture,Tables,787.53,3,0,165.3813,4,2015-03,2015,0.21,1,0
2015-04-05,2015-04-10,Standard Class,Corporate,United States,Bristol,Tennessee,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,5,2015-04,2015,-0.73329,0,1
2016-06-12,2016-06-15,First Class,Consumer,United States,Wilmington,Delaware,East,Furniture,Furnishings,47.04,3,0,18.3456,3,2016-06,2016,0.38992,1,0
2016-06-12,2016-06-15,First Class,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Binders,30.84,4,0,13.878,3,2016-06,2016,0.44985,1,0
2016-06-12,2016-06-15,First Class,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Storage,226.56,6,0,63.4368,3,2016-06,2016,0.27999,1,0
2016-06-12,2016-06-15,First Class,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Envelopes,115.02,9,0,51.759,3,2016-06,2016,0.44996,1,0
2016-06-12,2016-06-15,First Class,Consumer,United States,Wilmington,Delaware,East,Technology,Phones,68.04,7,0,19.7316,3,2016-06,2016,0.28996,1,0
2014-12-26,2014-12-28,Second Class,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,2,2014-12,2014,-0.01429,0,1
2014-09-20,2014-09-25,Standard Class,Consumer,United States,Bloomington,Illinois,Central,Furniture,Tables,617.7,6,0.5,-407.682,5,2014-09,2014,-0.65999,0,1
2017-11-05,2017-11-12,Standard Class,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,7,2017-11,2017,-0.76347,0,1
2017-11-05,2017-11-12,Standard Class,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Storage,243.992,7,0.2,30.499,7,2017-11,2017,0.12499,1,1
2016-11-06,2016-11-10,Second Class,Home Office,United States,Los Angeles,California,West,Furniture,Chairs,81.424,2,0.2,-9.1602,4,2016-11,2016,-0.11249,0,1
2016-11-06,2016-11-10,Second Class,Home Office,United States,Los Angeles,California,West,Furniture,Furnishings,238.56,3,0,26.2416,4,2016-11,2016,0.11,1,0
2017-02-02,2017-02-05,First Class,Corporate,United States,Columbus,Ohio,East,Technology,Phones,59.97,5,0.4,-11.994,3,2017-02,2017,-0.19997,0,1
2017-02-02,2017-02-05,First Class,Corporate,United States,Columbus,Ohio,East,Office Supplies,Paper,78.304,2,0.2,29.364,3,2017-02,2017,0.37495,1,1
2017-02-02,2017-02-05,First Class,Corporate,United States,Columbus,Ohio,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,3,2017-02,2017,0.32485,1,1
2016-10-13,2016-10-19,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Paper,20.04,3,0,9.6192,6,2016-10,2016,0.47976,1,0
2016-10-13,2016-10-19,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Paper,35.44,1,0,16.6568,6,2016-10,2016,0.46987,1,0
2016-10-13,2016-10-19,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Art,11.52,4,0,3.456,6,2016-10,2016,0.29974,1,0
2016-10-13,2016-10-19,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Fasteners,4.02,2,0,1.9698,6,2016-10,2016,0.48878,1,0
2016-10-13,2016-10-19,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Binders,76.176,3,0.2,26.6616,6,2016-10,2016,0.34995,1,1
2016-10-13,2016-10-19,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Supplies,65.88,6,0,18.4464,6,2016-10,2016,0.27996,1,0
2016-10-13,2016-10-19,Standard Class,Consumer,United States,Roseville,California,West,Furniture,Furnishings,43.12,14,0,20.6976,6,2016-10,2016,0.47989,1,0
2016-09-05,2016-09-07,Second Class,Corporate,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,82.8,2,0.2,10.35,2,2016-09,2016,0.12498,1,1
2017-09-18,2017-09-23,Standard Class,Corporate,United States,San Francisco,California,West,Office Supplies,Art,8.82,3,0,2.3814,5,2017-09,2017,0.26969,1,0
2017-09-18,2017-09-23,Standard Class,Corporate,United States,San Francisco,California,West,Office Supplies,Envelopes,10.86,3,0,5.1042,5,2017-09,2017,0.46957,1,0
2017-09-18,2017-09-23,Standard Class,Corporate,United States,San Francisco,California,West,Office Supplies,Paper,143.7,3,0,68.976,5,2017-09,2017,0.47997,1,0
2017-12-22,2017-12-27,Standard Class,Consumer,United States,Independence,Missouri,Central,Office Supplies,Appliances,839.43,3,0,218.2518,5,2017-12,2017,0.26,1,0
2015-09-07,2015-09-12,Standard Class,Consumer,United States,Pasadena,California,West,Office Supplies,Storage,671.93,7,0,20.1579,5,2015-09,2015,0.03,1,0
2014-10-22,2014-10-28,Standard Class,Home Office,United States,Newark,Ohio,East,Furniture,Furnishings,93.888,4,0.2,12.9096,6,2014-10,2014,0.13749,1,1
2016-12-05,2016-12-09,Standard Class,Corporate,United States,Franklin,Wisconsin,Central,Technology,Phones,384.45,11,0,103.8015,4,2016-12,2016,0.26999,1,0
2016-12-05,2016-12-09,Standard Class,Corporate,United States,Franklin,Wisconsin,Central,Technology,Phones,149.97,3,0,5.9988,4,2016-12,2016,0.04,1,0
2016-12-05,2016-12-09,Standard Class,Corporate,United States,Franklin,Wisconsin,Central,Furniture,Chairs,1951.84,8,0,585.552,4,2016-12,2016,0.3,1,0
2016-12-05,2016-12-09,Standard Class,Corporate,United States,Franklin,Wisconsin,Central,Office Supplies,Binders,171.55,5,0,80.6285,4,2016-12,2016,0.46997,1,0
2016-03-13,2016-03-16,First Class,Home Office,United States,Scottsdale,Arizona,West,Office Supplies,Appliances,157.92,5,0.2,17.766,3,2016-03,2016,0.11249,1,1
2016-03-13,2016-03-16,First Class,Home Office,United States,Scottsdale,Arizona,West,Technology,Phones,203.184,2,0.2,15.2388,3,2016-03,2016,0.075,1,1
2015-05-31,2015-06-02,First Class,Corporate,United States,San Jose,California,West,Office Supplies,Paper,58.38,7,0,26.271,2,2015-05,2015,0.44992,1,0
2015-05-31,2015-06-02,First Class,Corporate,United States,San Jose,California,West,Office Supplies,Paper,105.52,4,0,48.5392,2,2015-05,2015,0.45996,1,0
2015-05-31,2015-06-02,First Class,Corporate,United States,San Jose,California,West,Office Supplies,Storage,80.88,6,0,21.0288,2,2015-05,2015,0.25997,1,0
2015-05-28,2015-06-03,Standard Class,Home Office,United States,Seattle,Washington,West,Office Supplies,Art,6.63,3,0,1.7901,6,2015-05,2015,0.26959,1,0
2014-03-01,2014-03-06,Second Class,Consumer,United States,Seattle,Washington,West,Furniture,Chairs,457.568,2,0.2,51.4764,5,2014-03,2014,0.1125,1,1
2016-11-20,2016-11-24,Standard Class,Consumer,United States,Edmond,Oklahoma,Central,Office Supplies,Labels,14.62,2,0,6.8714,4,2016-11,2016,0.46968,1,0
2016-11-20,2016-11-24,Standard Class,Consumer,United States,Edmond,Oklahoma,Central,Technology,Phones,944.93,7,0,236.2325,4,2016-11,2016,0.25,1,0
2016-05-11,2016-05-12,First Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,5.98,1,0,2.691,1,2016-05,2016,0.44925,1,0
2015-12-28,2015-12-31,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Accessories,54.384,2,0.2,1.3596,3,2015-12,2015,0.025,1,1
2016-11-16,2016-11-20,Standard Class,Consumer,United States,Carlsbad,New Mexico,West,Office Supplies,Envelopes,28.4,5,0,13.348,4,2016-11,2016,0.46983,1,0
2016-11-07,2016-11-11,Standard Class,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,27.68,2,0.2,9.688,4,2016-11,2016,0.34987,1,1
2014-09-08,2014-09-12,Standard Class,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Art,9.936,3,0.2,2.7324,4,2014-09,2014,0.27472,1,1
2014-09-08,2014-09-12,Standard Class,Consumer,United States,San Antonio,Texas,Central,Technology,Machines,8159.952,8,0.4,-1359.992,4,2014-09,2014,-0.16667,0,1
